"","week","richness_id","density_id","rep","sown_seeds","cum_germ_perc_ciar","cum_germ_perc_res"
"1",12,"M1","D3","A5",400,0.4,0.22
"2",12,"M1","D2","O4",200,0.2,0.54
"3",12,"M1","D3","H2",400,0.2,0.05
"4",12,"M2","D3","1",400,0.35,0.21
"5",12,"M1","D3","R2",400,0.5,0.22
"6",12,"M1","D2","M3",200,0.5,0.53
"7",12,"M2","D3","3",400,0.4,0.37
"8",12,"M1","D1","H3",48,0.3,0.02
"9",12,"M1","D3","M5",400,0.15,0.49
"10",12,"M4","D3","3",400,0.4,0.31
"11",12,"M1","D3","A1",400,0.4,0.26
"12",12,"M1","D2","H4",200,0.3,0.06
"13",12,"M1","D2","A5",200,0.35,0.16
"14",12,"M4","D1","4",48,0.1,0.21
"15",12,"M1","D2","R5",200,0.45,0.36
"16",12,"M1","D2","M2",200,0.25,0.46
"17",12,"M2","D1","1",48,0.3,0.17
"18",12,"M2","D2","4",200,0.3,0.34
"19",12,"M1","D2","H5",200,0.35,0.11
"20",12,"M1","D3","R5",400,0.35,0.31
"21",12,"M1","D3","A3",400,0.15,0.21
"22",12,"M1","D3","H4",400,0.4,0.07
"23",12,"M4","D3","1",400,0.4,0.23
"24",12,"M1","D1","H1",48,0.45,0.15
"25",12,"M1","D1","O1",48,0.35,0.52
"26",12,"M1","D2","M5",200,0.2,0.42
"27",12,"M1","D3","M2",400,0.5,0.33
"28",12,"M1","D3","O4",400,0.45,0.52
"29",12,"M4","D1","3",48,0,0.42
"30",12,"M1","D2","A1",200,0.2,0.18
"31",12,"M1","D1","M3",48,0.35,0.33
"32",12,"M4","D3","2",400,0.35,0.25
"33",12,"M2","D2","1",200,0.3,0.3
"34",12,"M1","D1","A5",48,0.45,0.25
"35",12,"M1","D3","O2",400,0.55,0.42
"36",12,"M1","D1","R2",48,0.3,0.4
"37",12,"M4","D3","4",400,0.55,0.33
"38",12,"M1","D3","O5",400,0.15,0.62
"39",12,"M1","D1","R4",48,0.25,0.46
"40",12,"M1","D1","A4",48,0.4,0.27
"41",12,"M1","D3","M1",400,0.25,0.44
"42",12,"M1","D3","R3",400,0.25,0.3
"43",12,"M4","D3","5",400,0.4,0.36
"44",12,"M4","D1","2",48,0.4,0.23
"45",12,"M1","D2","R3",200,0.3,0.26
"46",12,"M1","D2","O2",200,0.45,0.51
"47",12,"M1","D1","M2",48,0.4,0.48
"48",12,"M1","D3","A2",400,0.55,0.25
"49",12,"M1","D2","A3",200,0.55,0.22
"50",12,"M1","D2","R1",200,0.45,0.42
"51",12,"M1","D2","H2",200,0.3,0.06
"52",12,"M1","D3","M3",400,0.3,0.56
"53",12,"M1","D3","R1",400,0.35,0.5
"54",12,"M1","D1","O3",48,0.55,0.77
"55",12,"M1","D1","M5",48,0.25,0.48
"56",12,"M4","D2","2",200,0.2,0.23
"57",12,"M1","D2","M4",200,0.2,0.22
"58",12,"M1","D1","M1",48,0.45,0.38
"59",12,"M1","D3","H5",400,0.4,0.17
"60",12,"M2","D1","2",48,0.4,0.48
"61",12,"M1","D2","R2",200,0.25,0.32
"62",12,"M1","D1","H4",48,0.4,0.04
"63",12,"M1","D1","A2",48,0.4,0.1
"64",12,"M4","D2","1",200,0.35,0.27
"65",12,"M1","D1","O5",48,0.1,0.56
"66",12,"M1","D3","O3",400,0.25,0.48
"67",12,"M1","D1","A3",48,0.4,0.17
"68",12,"M1","D1","A1",48,0.3,0.04
"69",12,"M1","D1","O2",48,0.15,0.31
"70",12,"M1","D2","M1",200,0.5,0.54
"71",12,"M1","D2","O3",200,0.3,0.46
"72",12,"M1","D1","H2",48,0.45,0.06
"73",12,"M4","D2","3",200,0.2,0.3
"74",12,"M2","D3","2",400,0.35,0.29
"75",12,"M1","D3","H3",400,0.4,0.12
"76",12,"M2","D3","4",400,0.3,0.27
"77",12,"M2","D2","3",200,0.25,0.34
"78",12,"M1","D1","R3",48,0.4,0.54
"79",12,"M4","D2","4",200,0.4,0.33
"80",12,"M2","D1","5",48,0.35,0.19
"81",12,"M1","D2","H3",200,0.4,0.1
"82",12,"M2","D2","5",200,0.4,0.25
"83",12,"M4","D2","5",200,0.1,0.28
"84",12,"M2","D1","4",48,0.45,0.77
"85",12,"M4","D1","5",48,0.5,0.33
"86",12,"M1","D1","R1",48,0.45,0.27
"87",12,"M1","D1","M4",48,0.55,0.33
"88",12,"M1","D2","A4",200,0.55,0.2
"89",12,"M1","D1","O4",48,0.25,0.46
"90",12,"M1","D2","O5",200,0.25,0.56
"91",12,"M4","D1","1",48,0.25,0.27
"92",12,"M1","D1","H5",48,0.4,0.06
"93",12,"M2","D3","5",400,0.1,0.36
"94",12,"M1","D2","O1",200,0.35,0.52
"95",12,"M2","D2","2",200,0.35,0.44
"96",12,"M1","D3","A4",400,0.15,0.22
"97",12,"M1","D3","R4",400,0.3,0.27
"98",12,"M1","D2","H1",200,0.2,0.06
"99",12,"M1","D2","R4",200,0.2,0.31
"100",12,"M1","D1","R5",48,0.35,0.46
"101",12,"M2","D1","3",48,0.55,0.1
"102",12,"M1","D3","M4",400,0.45,0.44
"103",12,"M1","D3","H1",400,0.65,0.1
"104",12,"M1","D2","A2",200,0.25,0.14
"105",12,"M1","D3","O1",400,0.35,0.44
