"Richness_ID","Density_ID","Rep","mean_inv_bm_g","tot_inv_bm_g","num_invaders"
"M1","-","C1",1.3,6.514,5
"M1","-","C2",0.37,4.4937,12
"M1","-","C3",0.47,5.1239,11
"M1","-","C4",0.52,4.1212,10
"M1","-","C5",0.58,4.0498,8
"M1","D1","A1",0.5,3.0228,6
"M1","D1","A2",0.1,0.4963,6
"M1","D1","A3",0.33,2.9307,9
"M1","D1","A4",0.4,3.5923,9
"M1","D1","A5",0.47,3.734,8
"M1","D1","H1",0.17,1.7489,10
"M1","D1","H2",0.79,5.5462,7
"M1","D1","H3",0.45,2.7047,6
"M1","D1","H4",0.61,4.2617,8
"M1","D1","H5",0.24,1.654,8
"M1","D1","M1",0.23,1.8021,8
"M1","D1","M2",0.33,1.6648,5
"M1","D1","M3",0.38,2.6578,7
"M1","D1","M4",0.09,0.7724,9
"M1","D1","M5",2.29,2.2933,1
"M1","D1","O1",0.08,0.2283,4
"M1","D1","O2",0.11,0.3319,3
"M1","D1","O3",0.14,1.0888,8
"M1","D1","O4",0.02,0.1142,6
"M1","D1","O5",0.01,0.0248,2
"M1","D1","R1",0.23,1.3899,7
"M1","D1","R2",0.31,2.1787,7
"M1","D1","R3",0.01,0.0554,7
"M1","D1","R4",0.2,0.4053,2
"M1","D1","R5",0.13,0.783,6
"M1","D2","A1",0.16,0.6435,4
"M1","D2","A2",0.65,2.601,4
"M1","D2","A3",0.24,1.4294,7
"M1","D2","A4",0.09,0.9317,10
"M1","D2","A5",0.12,0.8229,7
"M1","D2","H1",0.28,1.1338,4
"M1","D2","H2",0.45,0.9005,2
"M1","D2","H3",0.44,3.4828,8
"M1","D2","H4",0.37,2.2402,6
"M1","D2","H5",0.18,1.2511,7
"M1","D2","M1",0.02,0.1061,6
"M1","D2","M2",0.1,0.4039,4
"M1","D2","M3",0.08,0.7066,9
"M1","D2","M4",0.02,0.0705,3
"M1","D2","M5",0.01,0.0295,3
"M1","D2","O1",0.03,0.1507,6
"M1","D2","O2",0.05,0.3225,6
"M1","D2","O3",0.01,0.0328,4
"M1","D2","O4",0,0.0112,4
"M1","D2","O5",0.02,0.0927,5
"M1","D2","R1",0.03,0.1552,7
"M1","D2","R2",0.03,0.1049,3
"M1","D2","R3",0.01,0.0158,3
"M1","D2","R4",0.09,0.2575,3
"M1","D2","R5",0.03,0.1818,6
"M1","D3","A1",0.17,1.0233,6
"M1","D3","A2",0.08,0.6526,8
"M1","D3","A3",0.1,0.2902,3
"M1","D3","A4",0.01,0.0078,1
"M1","D3","A5",0.15,0.6046,4
"M1","D3","H1",0.21,1.8934,9
"M1","D3","H2",1.09,3.2728,3
"M1","D3","H3",0.09,0.6224,7
"M1","D3","H4",0.19,1.1442,6
"M1","D3","H5",0.21,0.6383,5
"M1","D3","M1",0.1,0.286,3
"M1","D3","M2",0.11,0.3173,3
"M1","D3","M3",0.05,0.1868,4
"M1","D3","M4",0.07,0.7145,10
"M1","D3","M5",0.02,0.0405,2
"M1","D3","O1",0.02,0.0821,5
"M1","D3","O2",0.01,0.0682,7
"M1","D3","O3",0.01,0.0264,4
"M1","D3","O4",0.02,0.0698,4
"M1","D3","O5",0,0.0062,2
"M1","D3","R1",0.02,0.0822,4
"M1","D3","R2",0.04,0.2214,6
"M1","D3","R3",0.1,0.3081,5
"M1","D3","R4",0.01,0.0467,5
"M1","D3","R5",0.12,0.5802,5
"M2","D1","1",0.16,0.9358,6
"M2","D1","2",0.14,1.1516,9
"M2","D1","3",0.61,6.0504,10
"M2","D1","4",0.17,1.3701,8
"M2","D1","5",0.14,0.9617,7
"M2","D2","1",0.07,0.2864,4
"M2","D2","2",0.01,0.0735,5
"M2","D2","3",0.03,0.0787,3
"M2","D2","4",0.02,0.049,3
"M2","D2","5",0.5,2.9784,6
"M2","D3","1",0.03,0.1025,4
"M2","D3","2",0.21,0.6449,3
"M2","D3","3",0.05,0.3242,7
"M2","D3","4",0.03,0.0966,3
"M2","D3","5",0.03,0.0854,3
"M4","D1","1",0.34,1.3536,4
"M4","D1","2",0.02,0.1148,5
"M4","D1","3",0,0,1
"M4","D1","4",0.01,0.0119,1
"M4","D1","5",0.18,1.6492,9
"M4","D2","1",0.05,0.3232,7
"M4","D2","2",0.02,0.0697,3
"M4","D2","3",0.01,0.0978,11
"M4","D2","4",0.12,0.3615,3
"M4","D2","5",NA,NA,1
"M4","D3","1",0.04,0.3498,8
"M4","D3","2",0.1,0.3012,3
"M4","D3","3",0.1,0.099,1
"M4","D3","4",0.01,0.0353,5
"M4","D3","5",0.05,0.3411,7
