"Richness_ID","Density_ID","Rep","res_comm_biomass_g","realized_sr"
"M1","D1","A1",2.0976,1
"M1","D1","A2",1.2128,1
"M1","D1","A3",1.1239,1
"M1","D1","A4",0.3614,1
"M1","D1","A5",1.5738,1
"M1","D1","H1",0.6721,1
"M1","D1","H2",0.1934,1
"M1","D1","H3",0,1
"M1","D1","H4",0,1
"M1","D1","H5",0.0092,1
"M1","D1","M1",4.4254,1
"M1","D1","M2",3.5527,1
"M1","D1","M3",2.645,1
"M1","D1","M4",4.9158,1
"M1","D1","M5",3.6109,1
"M1","D1","O1",6.7902,1
"M1","D1","O2",5.3219,1
"M1","D1","O3",8.9733,1
"M1","D1","O4",7.815,1
"M1","D1","O5",9.2445,1
"M1","D1","R1",3.4162,1
"M1","D1","R2",2.311,1
"M1","D1","R3",3.5179,1
"M1","D1","R4",3.3928,1
"M1","D1","R5",1.9134,1
"M1","D2","A1",4.7141,1
"M1","D2","A2",4.1525,1
"M1","D2","A3",3.0589,1
"M1","D2","A4",5.6671,1
"M1","D2","A5",3.2591,1
"M1","D2","H1",0.7511,1
"M1","D2","H2",0.7793,1
"M1","D2","H3",0.9985,1
"M1","D2","H4",1.301,1
"M1","D2","H5",1.8062,1
"M1","D2","M1",5.664,1
"M1","D2","M2",5.5152,1
"M1","D2","M3",4.4271,1
"M1","D2","M4",2.736,1
"M1","D2","M5",4.5731,1
"M1","D2","O1",4.7349,1
"M1","D2","O2",3.4378,1
"M1","D2","O3",3.5342,1
"M1","D2","O4",6.6316,1
"M1","D2","O5",4.9597,1
"M1","D2","R1",4.751,1
"M1","D2","R2",4.5135,1
"M1","D2","R3",7.1709,1
"M1","D2","R4",5.9926,1
"M1","D2","R5",4.759,1
"M1","D3","A1",4.8946,1
"M1","D3","A2",5.9189,1
"M1","D3","A3",8.2217,1
"M1","D3","A4",6.806,1
"M1","D3","A5",7.432,1
"M1","D3","H1",2.9129,1
"M1","D3","H2",1.5701,1
"M1","D3","H3",3.6811,1
"M1","D3","H4",2.0952,1
"M1","D3","H5",2.573,1
"M1","D3","M1",5.3305,1
"M1","D3","M2",3.4421,1
"M1","D3","M3",3.0569,1
"M1","D3","M4",3.9603,1
"M1","D3","M5",6.7534,1
"M1","D3","O1",4.088,1
"M1","D3","O2",5.7105,1
"M1","D3","O3",7.1141,1
"M1","D3","O4",4.2832,1
"M1","D3","O5",5.5709,1
"M1","D3","R1",6.3009,1
"M1","D3","R2",4.8488,1
"M1","D3","R3",4.7582,1
"M1","D3","R4",6.4113,1
"M1","D3","R5",5.7232,1
"M2","D1","1",5.5066,2
"M2","D1","2",5.5125,2
"M2","D1","3",3.3862,1
"M2","D1","4",4.6296,2
"M2","D1","5",3.1212,2
"M2","D2","1",8.2388,2
"M2","D2","2",4.7626,2
"M2","D2","3",12.4992,2
"M2","D2","5",3.7667,2
"M2","D3","1",6.0528,2
"M2","D3","2",3.9299,2
"M2","D3","4",5.5331,2
"M2","D3","5",3.4724,2
"M4","D1","1",1.3313,4
"M4","D1","2",3.4469,4
"M4","D1","3",7.1942,4
"M4","D1","4",0.3453,4
"M4","D1","5",8.2365,4
"M4","D2","1",4.4949,4
"M4","D2","2",9.7542,4
"M4","D2","3",13.7414,4
"M4","D2","4",4.7734,3
"M4","D2","5",3.8819,4
"M4","D3","1",3.7512,4
"M4","D3","2",3.5445,4
"M4","D3","3",1.094,2
"M4","D3","4",7.0122,4
"M4","D3","5",11.1942,4
