"Richness_ID","Density_ID","Rep","mean_inv_bm_mg","tot_inv_bm_mg","num_invaders"
"M1","-","C1",1302.8,6514,5
"M1","-","C2",374.47,4493.7,12
"M1","-","C3",465.81,5123.9,11
"M1","-","C4",515.15,4121.2,10
"M1","-","C5",578.54,4049.8,8
"M1","D1","A1",503.8,3022.8,6
"M1","D1","A2",99.26,496.3,6
"M1","D1","A3",325.63,2930.7,9
"M1","D1","A4",399.14,3592.3,9
"M1","D1","A5",466.75,3734,8
"M1","D1","H1",174.89,1748.9,10
"M1","D1","H2",792.31,5546.2,7
"M1","D1","H3",450.78,2704.7,6
"M1","D1","H4",608.81,4261.7,8
"M1","D1","H5",236.29,1654,8
"M1","D1","M1",225.26,1802.1,8
"M1","D1","M2",332.96,1664.8,5
"M1","D1","M3",379.69,2657.8,7
"M1","D1","M4",85.82,772.4,9
"M1","D1","M5",2293.3,2293.3,1
"M1","D1","O1",76.1,228.3,4
"M1","D1","O2",110.63,331.9,3
"M1","D1","O3",136.1,1088.8,8
"M1","D1","O4",19.03,114.2,6
"M1","D1","O5",12.4,24.8,2
"M1","D1","R1",231.65,1389.9,7
"M1","D1","R2",311.24,2178.7,7
"M1","D1","R3",7.91,55.4,7
"M1","D1","R4",202.65,405.3,2
"M1","D1","R5",130.5,783,6
"M1","D2","A1",160.88,643.5,4
"M1","D2","A2",650.25,2601,4
"M1","D2","A3",238.23,1429.4,7
"M1","D2","A4",93.17,931.7,10
"M1","D2","A5",117.56,822.9,7
"M1","D2","H1",283.45,1133.8,4
"M1","D2","H2",450.25,900.5,2
"M1","D2","H3",435.35,3482.8,8
"M1","D2","H4",373.37,2240.2,6
"M1","D2","H5",178.73,1251.1,7
"M1","D2","M1",17.68,106.1,6
"M1","D2","M2",100.98,403.9,4
"M1","D2","M3",78.51,706.6,9
"M1","D2","M4",23.5,70.5,3
"M1","D2","M5",9.83,29.5,3
"M1","D2","O1",25.12,150.7,6
"M1","D2","O2",53.75,322.5,6
"M1","D2","O3",8.2,32.8,4
"M1","D2","O4",2.8,11.2,4
"M1","D2","O5",18.54,92.7,5
"M1","D2","R1",25.87,155.2,7
"M1","D2","R2",34.97,104.9,3
"M1","D2","R3",5.27,15.8,3
"M1","D2","R4",85.83,257.5,3
"M1","D2","R5",30.3,181.8,6
"M1","D3","A1",170.55,1023.3,6
"M1","D3","A2",81.58,652.6,8
"M1","D3","A3",96.73,290.2,3
"M1","D3","A4",7.8,7.8,1
"M1","D3","A5",151.15,604.6,4
"M1","D3","H1",210.38,1893.4,9
"M1","D3","H2",1090.93,3272.8,3
"M1","D3","H3",88.91,622.4,7
"M1","D3","H4",190.7,1144.2,6
"M1","D3","H5",212.77,638.3,5
"M1","D3","M1",95.33,286,3
"M1","D3","M2",105.77,317.3,3
"M1","D3","M3",46.7,186.8,4
"M1","D3","M4",71.45,714.5,10
"M1","D3","M5",20.25,40.5,2
"M1","D3","O1",16.42,82.1,5
"M1","D3","O2",9.74,68.2,7
"M1","D3","O3",6.6,26.4,4
"M1","D3","O4",23.27,69.8,4
"M1","D3","O5",3.1,6.2,2
"M1","D3","R1",20.55,82.2,4
"M1","D3","R2",36.9,221.4,6
"M1","D3","R3",102.7,308.1,5
"M1","D3","R4",9.34,46.7,5
"M1","D3","R5",116.04,580.2,5
"M2","D1","1",155.97,935.8,6
"M2","D1","2",143.95,1151.6,9
"M2","D1","3",605.04,6050.4,10
"M2","D1","4",171.26,1370.1,8
"M2","D1","5",137.39,961.7,7
"M2","D2","1",71.6,286.4,4
"M2","D2","2",14.7,73.5,5
"M2","D2","3",26.23,78.7,3
"M2","D2","4",16.33,49,3
"M2","D2","5",496.4,2978.4,6
"M2","D3","1",25.62,102.5,4
"M2","D3","2",214.97,644.9,3
"M2","D3","3",46.31,324.2,7
"M2","D3","4",32.2,96.6,3
"M2","D3","5",28.47,85.4,3
"M4","D1","1",338.4,1353.6,4
"M4","D1","2",22.96,114.8,5
"M4","D1","3",0,0,1
"M4","D1","4",11.9,11.9,1
"M4","D1","5",183.24,1649.2,9
"M4","D2","1",46.17,323.2,7
"M4","D2","2",23.23,69.7,3
"M4","D2","3",8.89,97.8,11
"M4","D2","4",120.5,361.5,3
"M4","D2","5",NA,NA,1
"M4","D3","1",43.72,349.8,8
"M4","D3","2",100.4,301.2,3
"M4","D3","3",99,99,1
"M4","D3","4",7.06,35.3,5
"M4","D3","5",48.73,341.1,7
